epoch,train_loss,val_loss
1,50.4906,14.1651
2,7.97521,10.3466
3,5.20068,5.69247
4,2.05586,0.98803
5,0.424856,0.147907
6,0.187535,0.191962
7,0.127656,0.23699
8,0.291019,0.74322
9,0.402127,0.725806
10,0.64766,0.976077
11,0.394228,0.488748
12,0.166709,1.12345
13,0.36594,0.15826
14,1.1007,6.24891
15,2.3483,0.226662
16,0.397866,0.359848
17,0.553659,2.13138
18,0.579057,0.312061
19,0.544466,3.14624
20,1.67189,3.9188
21,2.16186,0.284391
22,0.356756,0.98543
23,0.741235,0.313088
24,1.1642,3.35222
25,1.72275,1.54213
26,0.359038,0.1214
27,0.430896,0.48853
28,0.487568,0.495134
29,1.3562,3.55988
30,0.880867,1.75674
31,0.843944,0.635272
32,0.96278,0.319457
33,0.588174,2.19722
34,1.20496,1.5196
35,0.756912,0.7117
36,0.497903,0.408744
37,0.925003,0.584754
38,0.990535,0.433782
39,0.280746,0.300386
40,0.595443,1.51106
41,6.74175,10.1569
42,2.99883,0.705289
43,0.463557,0.542568
44,0.155565,0.436246
45,0.284395,0.133087
46,1.0055,4.78903
47,3.20347,1.52466
48,2.76314,3.78195
49,0.652416,0.832589
50,1.31303,5.08594
51,2.53268,0.1986
52,0.446189,2.1497
53,0.428384,0.274616
54,0.597359,0.6644
55,1.11688,1.16412
56,0.414124,0.426435
57,1.50184,10.7117
58,4.74278,1.75662
59,0.961521,0.595603
60,1.64693,10.9722
61,5.55331,4.32281
62,1.01929,0.263212
63,0.439512,0.647751
64,1.30207,0.539752
65,0.951937,3.97973
66,0.95909,0.129515
67,0.147655,0.256338
68,1.1152,2.75033
69,2.2941,5.20882
70,1.47868,0.832706
71,2.64366,5.30302
72,1.81447,3.97035
73,1.22612,1.3173
74,0.893468,0.852293
75,1.5299,0.851442
76,1.14672,2.01108
77,1.64678,2.21144
78,0.658443,0.26488
79,0.377646,0.560436
80,1.19701,0.115003
81,1.77792,0.219878
82,0.725119,4.82756
83,2.16232,0.150554
84,3.13769,3.23851
85,0.525065,0.678343
86,0.374118,0.168351
87,0.244353,1.88973
88,1.22838,3.96652
89,1.3422,2.89434
90,1.27826,1.70869
91,0.387595,0.637713
92,1.39695,2.99162
93,3.02666,1.96381
94,0.381076,0.528017
95,0.225719,0.39028
96,1.12233,1.57834
97,3.38218,6.58996
98,1.82195,1.55571
99,0.566206,0.14659
100,0.177132,0.392648
