epoch,train_loss,val_loss
1,747.885,109.18
2,117.639,79.19
3,50.5222,32.3286
4,89.8289,126.355
5,137.53,97.1159
6,114.98,16.5871
7,64.4263,161.144
8,96.6464,211.518
9,86.3217,65.8462
10,107.77,18.7344
11,51.3131,94.0838
12,63.1266,81.671
13,60.7623,206.649
14,113.888,23.2218
15,40.2771,7.81659
16,117.635,121.303
17,58.5941,53.2178
18,73.4849,189.652
19,90.1942,8.74014
20,107.413,32.6218
21,30.928,196.96
22,127.802,95.7752
23,39.1853,8.21476
24,38.1089,144.758
25,108.731,56.6338
26,59.1678,90.3131
27,38.3551,18.8712
28,60.676,141.794
29,46.0033,10.22
30,43.3809,53.4318
31,58.9238,88.0549
32,77.9312,119.605
33,73.7843,46.2512
34,48.4609,82.4857
35,37.1498,15.5746
36,99.3176,35.7632
37,70.0484,55.5605
38,51.5863,28.1096
39,71.0136,115.094
40,91.3506,37.6806
41,69.0108,162.087
42,62.6852,53.0147
43,76.0947,48.1907
44,37.3274,101.879
45,59.8309,28.3598
46,38.5777,16.8893
47,68.7265,136.261
48,86.4587,115.895
49,69.8981,9.67243
50,59.9594,182.337
51,76.5074,12.3984
52,35.6065,28.2388
53,52.6428,120.234
54,48.1371,40.581
55,31.9509,28.8172
56,92.4953,84.2615
57,32.1971,19.9843
58,35.0152,52.4509
59,35.8933,64.0109
60,46.1634,31.5595
61,74.6327,15.8143
62,28.2385,23.7992
63,62.0007,106.867
64,77.5635,19.9898
65,22.4559,59.2498
66,44.8813,23.2761
67,95.096,116.442
68,63.4805,126.289
69,63.8015,51.2679
70,39.0716,43.4414
71,76.1557,59.8821
72,61.2984,34.7347
73,80.1999,158.785
74,42.1655,81.952
75,84.2364,69.3353
76,76.0944,73.0333
77,64.5039,168.625
78,49.9072,65.9068
79,57.9982,129.264
80,108.087,27.4762
81,86.6189,35.2518
82,32.7589,47.078
83,81.2352,25.2243
84,43.2167,127.968
85,71.9462,126.398
86,72.0315,127.351
87,79.2585,53.5595
88,40.7286,133.268
89,92.8596,98.7174
90,70.1084,21.5949
91,34.9385,29.8366
92,56.1665,157.373
93,85.8024,44.9806
94,28.153,63.9227
95,29.0219,17.3661
96,64.5487,17.5951
97,45.7795,16.8549
98,30.4957,51.3623
99,41.9982,45.458
100,76.4463,38.3416
